epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5424.39,0.38478,0.25623,0.82733,0.91468,0.8962,0.96171,0.80294,0.42222,0.24421,0.87771,2.426e-05,2.426e-05,2.426e-05
41,5501.07,0.37216,0.25262,0.82519,0.9321,0.89451,0.95962,0.80157,0.41781,0.24179,0.87619,2.36e-05,2.36e-05,2.36e-05
42,5612.29,0.37311,0.25117,0.82426,0.90831,0.88598,0.95671,0.80213,0.41788,0.24326,0.87573,2.294e-05,2.294e-05,2.294e-05
43,5812.85,0.37071,0.24957,0.82249,0.89529,0.90561,0.96117,0.8043,0.41811,0.24076,0.87717,2.228e-05,2.228e-05,2.228e-05
44,6003.05,0.35929,0.24258,0.81942,0.91664,0.90296,0.96022,0.8053,0.41445,0.23882,0.87717,2.162e-05,2.162e-05,2.162e-05
45,6123.43,0.36349,0.24597,0.82158,0.91422,0.90258,0.9631,0.80497,0.41655,0.24085,0.87605,2.096e-05,2.096e-05,2.096e-05
46,6368,0.35708,0.24212,0.82212,0.93779,0.89164,0.9639,0.80863,0.41231,0.23704,0.87606,2.03e-05,2.03e-05,2.03e-05
47,6443.13,0.35515,0.23978,0.81967,0.91725,0.90793,0.96171,0.80797,0.41028,0.23593,0.87634,1.964e-05,1.964e-05,1.964e-05
48,6555.77,0.35833,0.23982,0.82064,0.88699,0.92281,0.96171,0.80862,0.4102,0.23634,0.87589,1.898e-05,1.898e-05,1.898e-05
49,6663.64,0.3479,0.23597,0.81861,0.93361,0.8844,0.95896,0.8033,0.40575,0.2357,0.87501,1.832e-05,1.832e-05,1.832e-05
50,6829.87,0.35367,0.23818,0.8183,0.93518,0.89075,0.96299,0.80838,0.4047,0.23375,0.87478,1.766e-05,1.766e-05,1.766e-05
51,6907.3,0.34157,0.23348,0.81686,0.92798,0.8994,0.96375,0.80851,0.4025,0.23305,0.87494,1.7e-05,1.7e-05,1.7e-05
52,7020.45,0.33997,0.23131,0.81604,0.92282,0.90294,0.96463,0.80756,0.40567,0.23426,0.87575,1.634e-05,1.634e-05,1.634e-05
53,7154.71,0.34335,0.23423,0.81703,0.92462,0.90814,0.96623,0.81334,0.40081,0.23208,0.87426,1.568e-05,1.568e-05,1.568e-05
54,7244.01,0.34108,0.23059,0.8173,0.9299,0.90166,0.96791,0.81787,0.39817,0.22975,0.87431,1.502e-05,1.502e-05,1.502e-05
55,7333.61,0.33557,0.22659,0.81456,0.92608,0.90856,0.96502,0.81506,0.39828,0.2305,0.87449,1.436e-05,1.436e-05,1.436e-05
56,7443.22,0.34084,0.22787,0.81768,0.92363,0.90635,0.96464,0.81274,0.39486,0.23028,0.87444,1.37e-05,1.37e-05,1.37e-05
57,7550.59,0.3337,0.22737,0.81474,0.92964,0.90372,0.9659,0.81785,0.39317,0.22787,0.87381,1.304e-05,1.304e-05,1.304e-05
58,7695.88,0.32929,0.22231,0.81414,0.93323,0.89218,0.95499,0.8056,0.39553,0.23074,0.87445,1.238e-05,1.238e-05,1.238e-05
59,7845.1,0.33135,0.22575,0.81689,0.93579,0.89295,0.96136,0.80734,0.39691,0.2293,0.87495,1.172e-05,1.172e-05,1.172e-05
60,7920.46,0.32852,0.22442,0.81259,0.9456,0.89557,0.96683,0.81534,0.38923,0.22611,0.87343,1.106e-05,1.106e-05,1.106e-05
61,7999.16,0.3243,0.2191,0.81426,0.9199,0.9119,0.96838,0.81606,0.39154,0.2264,0.8736,1.04e-05,1.04e-05,1.04e-05
62,8169.93,0.31915,0.21879,0.81136,0.92645,0.90671,0.96566,0.81331,0.39059,0.22593,0.87361,9.74e-06,9.74e-06,9.74e-06
63,8276.3,0.32062,0.21696,0.81352,0.93828,0.89993,0.96653,0.81491,0.38814,0.22421,0.87251,9.08e-06,9.08e-06,9.08e-06
64,8387.96,0.32266,0.21821,0.81374,0.92893,0.91024,0.96471,0.81431,0.38771,0.22607,0.8727,8.42e-06,8.42e-06,8.42e-06
65,8613.6,0.31666,0.21603,0.81081,0.92301,0.91212,0.96805,0.81792,0.38535,0.22232,0.87262,7.76e-06,7.76e-06,7.76e-06
66,8696.5,0.32044,0.21849,0.81061,0.87202,0.93104,0.96569,0.81023,0.39743,0.23116,0.87674,7.1e-06,7.1e-06,7.1e-06
67,8780.74,0.30485,0.20929,0.81065,0.92597,0.89726,0.9655,0.81249,0.38872,0.22599,0.87462,6.44e-06,6.44e-06,6.44e-06
68,8946.65,0.30423,0.20728,0.81161,0.92592,0.8994,0.96634,0.81415,0.38763,0.22395,0.87395,5.78e-06,5.78e-06,5.78e-06
69,9139.44,0.29695,0.20299,0.80926,0.92516,0.90138,0.96682,0.81372,0.38778,0.22408,0.87439,5.12e-06,5.12e-06,5.12e-06
70,9225.03,0.29379,0.20073,0.807,0.91309,0.90666,0.96656,0.81464,0.38931,0.22384,0.87472,4.46e-06,4.46e-06,4.46e-06
71,9325.59,0.29319,0.20104,0.80535,0.92372,0.90165,0.96661,0.81451,0.38581,0.22281,0.87395,3.8e-06,3.8e-06,3.8e-06
72,9420.2,0.29073,0.20024,0.80569,0.90842,0.91466,0.96736,0.81867,0.38414,0.2223,0.87342,3.14e-06,3.14e-06,3.14e-06
73,9522.03,0.28627,0.1961,0.805,0.90967,0.9063,0.9661,0.81667,0.38373,0.22226,0.87359,2.48e-06,2.48e-06,2.48e-06
74,9685.96,0.28836,0.19686,0.80279,0.9172,0.90256,0.96544,0.81485,0.38312,0.22226,0.8734,1.82e-06,1.82e-06,1.82e-06
75,9756.17,0.28545,0.19609,0.80659,0.92321,0.90089,0.96591,0.81373,0.38271,0.22099,0.87359,1.16e-06,1.16e-06,1.16e-06
